year,article_count,avg_tone,Temperature_Anomaly,CO2
1992,68.0,0.2570731150361493,22.0,356.54
1993,68.0,0.2570731150361493,23.0,357.21
1994,68.0,0.2570731150361493,31.0,358.96
1995,68.0,0.2570731150361493,44.0,360.97
1996,68.0,0.2570731150361493,33.0,362.74
1997,68.0,0.2570731150361493,46.0,363.88
1998,68.0,0.2570731150361493,61.0,366.84
1999,68.0,0.2570731150361493,38.0,368.54
2000,68.0,0.2570731150361493,39.0,369.71
2001,68.0,0.2570731150361493,53.0,371.32
2002,68.0,0.2570731150361493,63.0,373.45
2003,68.0,0.2570731150361493,62.0,375.98
2004,68.0,0.2570731150361493,53.0,377.7
2005,68.0,0.2570731150361493,68.0,379.98
2006,68.0,0.2570731150361493,64.0,382.09
2007,68.0,0.2570731150361493,66.0,384.02
2008,68.0,0.2570731150361493,54.0,385.83
2009,68.0,0.2570731150361493,66.0,387.64
2010,68.0,0.2570731150361493,73.0,390.1
2011,68.0,0.2570731150361493,61.0,391.85
2012,68.0,0.2570731150361493,65.0,393.53625
2013,68.0,0.2570731150361493,68.0,393.53625
2014,68.0,0.2570731150361493,75.0,393.53625
2015,68.0,0.2570731150361493,90.0,393.53625
2016,68.0,0.2570731150361493,101.0,393.53625
2017,68.0,0.2570731150361493,92.0,393.53625
2018,68.0,0.2570731150361493,85.0,393.53625
2019,68.0,0.2570731150361493,98.0,393.53625
2020,68.0,0.2570731150361493,101.0,393.53625
2021,68.0,0.2570731150361493,85.0,393.53625
2022,68.0,0.2570731150361493,89.0,393.53625
2023,68.0,0.2570731150361493,107.5,393.53625
2024,68.0,0.2570731150361493,107.5,393.53625
2025,68.0,0.2570731150361493,107.5,393.53625
